date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:07	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:08%20GMT	https://www.connectionfestival.com.br/fonts/fontawesome-webfont.woff?v=4.5.0	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/fontawesome-webfont3295.woff	(from https://www.connectionfestival.com.br/css/style.css)
16:13:07	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:08%20GMT	https://www.connectionfestival.com.br/fonts/fontawesome-webfont.ttf?v=4.5.0	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/fontawesome-webfont3295.ttf	(from https://www.connectionfestival.com.br/css/style.css)
16:13:08	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:08%20GMT	https://www.connectionfestival.com.br/fonts/fontawesome-webfont.svg?v=4.5.0	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/fontawesome-webfont3295.svg	(from https://www.connectionfestival.com.br/css/style.css)
16:13:08	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:08%20GMT	https://www.connectionfestival.com.br/fonts/Flaticon.eot	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/Flaticon.eot	(from https://www.connectionfestival.com.br/css/style.css)
16:13:08	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:09%20GMT	https://www.connectionfestival.com.br/fonts/Flaticon.eot?	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/Flaticond41d.eot	(from https://www.connectionfestival.com.br/css/style.css)
16:13:08	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:09%20GMT	https://www.connectionfestival.com.br/fonts/Flaticon.woff	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/Flaticon.woff	(from https://www.connectionfestival.com.br/css/style.css)
16:13:08	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:09%20GMT	https://www.connectionfestival.com.br/fonts/Flaticon.ttf	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/Flaticon.ttf	(from https://www.connectionfestival.com.br/css/style.css)
16:13:09	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:09%20GMT	https://www.connectionfestival.com.br/fonts/Flaticon.svg	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/Flaticon.svg	(from https://www.connectionfestival.com.br/css/style.css)
16:13:09	19123178/19123178	---M--	200	added ('OK')	image/jpeg	etag:%22123cbea-62392ee65aca4%22	https://www.connectionfestival.com.br/images/mesascamarotes.jpg	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/mesascamarotes.jpg	(from https://www.connectionfestival.com.br/)
16:13:09	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:09%20GMT	https://www.connectionfestival.com.br/css/Flaticon.svg	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/css/Flaticon.svg	(from https://www.connectionfestival.com.br/css/style.css)
16:13:09	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:10%20GMT	https://www.connectionfestival.com.br/fonts/materialdesignicons-webfont.eot?v=1.4.57	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/materialdesignicons-webfont14e6.eot	(from https://www.connectionfestival.com.br/css/style.css)
16:13:09	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:10%20GMT	https://www.connectionfestival.com.br/fonts/materialdesignicons-webfont.eot?	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/materialdesignicons-webfontd41d.eot	(from https://www.connectionfestival.com.br/css/style.css)
16:13:09	79756/79756	---M--	200	added ('OK')	font/woff2	etag:%221378c-62392edaefea3%22	https://www.connectionfestival.com.br/fonts/materialdesignicons-webfont.woff2?v=1.4.57	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/materialdesignicons-webfont14e6.woff2	(from https://www.connectionfestival.com.br/css/style.css)
16:13:10	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:10%20GMT	https://www.connectionfestival.com.br/fonts/materialdesignicons-webfont.woff?v=1.4.57	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/materialdesignicons-webfont14e6.woff	(from https://www.connectionfestival.com.br/css/style.css)
16:13:10	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:11%20GMT	https://www.connectionfestival.com.br/fonts/materialdesignicons-webfont.ttf?v=1.4.57	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/materialdesignicons-webfont14e6.ttf	(from https://www.connectionfestival.com.br/css/style.css)
16:13:10	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:11%20GMT	https://www.connectionfestival.com.br/fonts/materialdesignicons-webfont.svg?v=1.4.57	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/fonts/materialdesignicons-webfont14e6.svg	(from https://www.connectionfestival.com.br/css/style.css)
16:13:10	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:11%20GMT	https://www.connectionfestival.com.br/images/633328.png	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/633328.png	(from https://www.connectionfestival.com.br/css/style.css)
16:13:11	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:11%20GMT	https://www.connectionfestival.com.br/images/preloader.gif	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/preloader.gif	(from https://www.connectionfestival.com.br/css/style.css)
16:13:11	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:12%20GMT	https://www.connectionfestival.com.br/images/photoswipe-controls.png	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/photoswipe-controls.png	(from https://www.connectionfestival.com.br/css/style.css)
16:13:11	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:12%20GMT	https://www.connectionfestival.com.br/images/photoswipe-controls.svg	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/photoswipe-controls.svg	(from https://www.connectionfestival.com.br/css/style.css)
16:13:11	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:13:12%20GMT	https://www.connectionfestival.com.br/images/preloader.png	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/preloader.png	(from https://www.connectionfestival.com.br/css/style.css)
